lengt;dynamics;variability;mse;time;type;id;label
39.68650372243308;-0.30121933380390453;11.446334684548361;4.482590582599295;[0.90126582];last;QC_Shew_12_02_pt5_4_18Nov12_Lynx_12-11-08;_good_
80.50366440201128;0.11238882155800398;8.99110572464032;20.937749446491683;[0.00251889];first;QC_Shew_12_02_pt5_4_28Dec12_Lynx_12-11-07;_good_
41.07471111660356;-0.23336116497882095;9.334446599152841;1.2340128572487412;[0.89672544];last;QC_Shew_12_02_pt5_4_28Dec12_Lynx_12-11-07;_good_
38.264436188482165;0.36022013676484316;12.967924923534355;15.67451709869481;[0.00251889];first;QC_Shew_12_02_pt5_4_6Sep12_Earth_12-04-15;_good_
129.17231744577276;-0.051704667609167435;6.669902121582609;2.123390451297208;[0.67254408];last;QC_Shew_12_02_pt5_4_6Sep12_Earth_12-04-15;_good_
93.36077166441282;0.08816790298084541;8.19961497721863;20.011929927338947;[0.00253165];first;QC_Shew_12_02_pt5_5_17Nov12_Lynx_12-11-07;_good_
35.8729142891651;-0.22472837045639837;7.865492965973942;1.8104819547746542;[0.90886076];last;QC_Shew_12_02_pt5_5_17Nov12_Lynx_12-11-07;_good_
98.30818969472442;0.07936923414268608;7.778184945983227;20.815391196482604;[0.00253165];first;QC_Shew_12_02_pt5_5_18Nov12_Lynx_12-11-07;_good_
36.69431496975496;-0.19734493658716484;7.104417717137935;1.453300403056014;[0.90632911];last;QC_Shew_12_02_pt5_5_18Nov12_Lynx_12-11-07;_good_
91.4466236555867;0.09919673640683718;9.026903013022178;11.195292616469201;[0.00253165];first;QC_Shew_12_02_pt5_6_17Nov12_Lynx_12-11-08;_good_
36.472971105409194;-0.29315681010515837;10.260488353680543;1.9492809012157974;[0.90886076];last;QC_Shew_12_02_pt5_6_17Nov12_Lynx_12-11-08;_good_
98.3804324951192;0.0881986287770341;8.643465620149342;27.330778559565292;[0.00253165];first;QC_Shew_12_02_pt5_6_18Nov12_Lynx_12-11-08;_good_
37.88760826685085;-0.22035044168986367;8.152966342524948;1.7363901213776824;[0.90379747];last;QC_Shew_12_02_pt5_6_18Nov12_Lynx_12-11-08;_good_
92.39822393672554;0.09314385753887024;8.569234893576052;26.48930324171381;[0.00253165];first;QC_Shew_12_02_pt5_7_17Nov12_Lynx_12-11-07;_good_
38.049070147232605;-0.2398132629215204;8.873090728096244;2.7558141097737248;[0.90379747];last;QC_Shew_12_02_pt5_7_17Nov12_Lynx_12-11-07;_good_
99.36572675940187;0.08603526350919335;8.51749108741015;27.877155427432054;[0.00253165];first;QC_Shew_12_02_pt5_7_18Nov12_Lynx_12-11-07;_good_
35.660483411561316;-0.1951871465035437;6.831550127624027;2.1036257067372;[0.90886076];last;QC_Shew_12_02_pt5_7_18Nov12_Lynx_12-11-07;_good_
81.4638768180688;0.10717530351488001;8.681199584705283;13.188863292800157;[0.00251889];first;QC_Shew_12_02_pt5_7_28Dec12_Lynx_12-11-08;_good_
38.99021732659429;-0.2297732339522946;8.731382890187191;0.8191665863455403;[0.90176322];last;QC_Shew_12_02_pt5_7_28Dec12_Lynx_12-11-08;_good_
92.65726895182091;0.11974763239550265;11.016782180386244;30.111616675345914;[0.00253165];first;QC_Shew_12_02_pt5_8_17Nov12_Lynx_12-11-08;_good_
44.85666748086935;-0.2970201908534585;12.771868206698713;2.962095994071274;[0.88860759];last;QC_Shew_12_02_pt5_8_17Nov12_Lynx_12-11-08;_good_
98.40504626463573;0.09101281790049282;8.919256154248302;37.279959061018154;[0.00253165];first;QC_Shew_12_02_pt5_8_18Nov12_Lynx_12-11-08;_good_
45.09580796725515;-0.31599841876119283;13.587932006731293;4.177999355453188;[0.88860759];last;QC_Shew_12_02_pt5_8_18Nov12_Lynx_12-11-08;_good_
40.739810097998394;0.3865216420757281;14.687822398877657;39.9072256118397;[0.00251889];first;QC_Shew_12_02_pt5_A_10Dec12_Lynx_12-11-07;_good_
134.09832998970276;-0.03831644891815464;5.134404155032726;5.250858905730254;[0.65994962];last;QC_Shew_12_02_pt5_A_10Dec12_Lynx_12-11-07;_good_
78.46952063911007;0.10988732898273618;8.571211660653418;16.138220500478422;[0.00251889];first;QC_Shew_12_02_pt5_a_20Dec12_Lynx_12-11-07;_good_
43.31261125869043;-0.25195639722662827;10.582168683518375;0.6458258134864935;[0.89168766];last;QC_Shew_12_02_pt5_a_20Dec12_Lynx_12-11-07;_good_
78.39973412071218;0.10136989877233879;7.906852104242432;12.891583184328022;[0.00251889];first;QC_Shew_12_02_pt5_A_2Jan13_Lynx_12-11-07;_good_
59.932369021569606;-0.260275656795049;15.09598809411284;5.054785225993523;[0.85138539];last;QC_Shew_12_02_pt5_A_2Jan13_Lynx_12-11-07;_good_
31.33323258706448;0.40912810682521805;11.864715097931324;14.989775932019736;[0.00251889];first;QC_Shew_12_02_pt5_B_10Dec12_Lynx_12-11-08;_good_
121.07177337177885;-0.03444834643814835;4.168249919015949;5.988417628324571;[0.69269521];last;QC_Shew_12_02_pt5_B_10Dec12_Lynx_12-11-08;_good_
74.38010048886247;0.10148581056858971;7.509949982075639;10.601961332951646;[0.00251889];first;QC_Shew_12_02_pt5_D_12Jan13_Lynx_12-11-08;_good_
44.10193510030626;-0.3203072854902138;13.452905990588988;1.3289284478976475;[0.89168766];last;QC_Shew_12_02_pt5_D_12Jan13_Lynx_12-11-08;_good_
69.64587843074814;0.13714493779016365;9.463000707521289;14.78198851946893;[0.00251889];first;QC_Shew_12_02_pt5-A_1Dec12_Lynx_12-11-07;_good_
57.082422767708415;-0.053797006348760786;3.066429361879358;0.9625846275824204;[0.85390428];last;QC_Shew_12_02_pt5-A_1Dec12_Lynx_12-11-07;_good_
69.55933344795606;0.1275863453288603;8.80345782769136;13.091793487628316;[0.00251889];first;QC_Shew_12_02_pt5-A_30Nov12_Lynx_12-11-07;_good_
78.91783140937889;-0.15385903490901828;12.001004722903431;6.364703157258155;[0.80100756];last;QC_Shew_12_02_pt5-A_30Nov12_Lynx_12-11-07;_good_
66.59795113832834;0.13491409352466346;8.904330172627795;13.850748688011846;[0.00251889];first;QC_Shew_12_02_pt5-B_1Dec12_Lynx_12-11-08;_good_
70.42524661578096;-0.11039387820720054;7.727571474504032;3.218359448442505;[0.82115869];last;QC_Shew_12_02_pt5-B_1Dec12_Lynx_12-11-08;_good_
70.46423139678741;0.11535916083153265;8.075141258207282;10.582730658187701;[0.00251889];first;QC_Shew_12_02_pt5-B_30Nov12_Lynx_12-11-08;_good_
15.555921758060192;-0.65717119140297;8.543225488238647;0.482755332673232;[0.96473552];last;QC_Shew_12_02_pt5-B_30Nov12_Lynx_12-11-08;_good_
65.68054392323766;0.1450842236945623;9.430474540146548;14.064161615664926;[0.00251889];first;QC_Shew_12_02_pt5-C_1Dec12_Lynx_12-11-07;_good_
76.66990783900205;-0.13306708993069155;10.11309883473254;4.635388727612638;[0.80604534];last;QC_Shew_12_02_pt5-C_1Dec12_Lynx_12-11-07;_good_
69.57288510282905;0.12912900463712348;8.90990131996152;14.206674096718048;[0.00251889];first;QC_Shew_12_02_pt5-C_30Nov12_Lynx_12-11-07;_good_
